"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"WealthSimple Cash","","01/03/2024","WealthSimple interet","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,2.15$,"Reconciled"
"Principal","","01/03/2024","Transfer : WealthSimple Cash","","","","",0.00$,10.50$,"Reconciled"
"WealthSimple Cash","","29/02/2024","Paiement Loyer Papa","Dépense Obligatoire: 🏠 Loyer","Dépense Obligatoire","🏠 Loyer","",600.00$,0.00$,"Reconciled"
"WealthSimple Cash","","29/02/2024","Payment /BENEVA","Dépense Obligatoire: 🏚️ Assurance Maison","Dépense Obligatoire","🏚️ Assurance Maison","",220.99$,0.00$,"Reconciled"
"WealthSimple Cash","","29/02/2024","Transfer : Classique Visa Desjardins","","","","",200.00$,0.00$,"Reconciled"
"WealthSimple Cash","","29/02/2024","Drizzle","Dépense Non Obligatoire: 💨 Drizzle","Dépense Non Obligatoire","💨 Drizzle","",109.50$,0.00$,"Reconciled"
"WealthSimple Cash","","29/02/2024","Transfer : WealthSimple CELI","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",100.00$,0.00$,"Reconciled"
"WealthSimple Cash","","29/02/2024","Depanneur BT","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",22.87$,0.00$,"Reconciled"
"WealthSimple Cash","","29/02/2024","Udemy","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",20.68$,0.00$,"Reconciled"
"Principal","","29/02/2024","Fixed service charges","Dépense Obligatoire: 🏦 Frais Desjardins","Dépense Obligatoire","🏦 Frais Desjardins","",15.95$,0.00$,"Reconciled"
"WealthSimple CELI","","29/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,100.00$,"Reconciled"
"Classique Visa Desjardins","","29/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,200.00$,"Reconciled"
"WealthSimple Cash","","28/02/2024","Depanneur BT","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","Split (1/3) ",10.00$,0.00$,"Reconciled"
"WealthSimple Cash","","28/02/2024","Depanneur BT","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","Split (2/3) ",35.00$,0.00$,"Reconciled"
"WealthSimple Cash","","28/02/2024","Depanneur BT","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","Split (3/3) ",14.97$,0.00$,"Reconciled"
"WealthSimple Cash","","28/02/2024","Depanneur Pointe","Dépense Non Obligatoire: ⛽ Gaz","Dépense Non Obligatoire","⛽ Gaz","",50.01$,0.00$,"Reconciled"
"WealthSimple Cash","","28/02/2024","Amazon","Dépense Non Obligatoire: 🛒 Amazon","Dépense Non Obligatoire","🛒 Amazon","",34.42$,0.00$,"Reconciled"
"WealthSimple Cash","","28/02/2024","Udemy","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",20.68$,0.00$,"Reconciled"
"Principal","","28/02/2024","Dell","Dépense Obligatoire: 🖥️ Dell","Dépense Obligatoire","🖥️ Dell","",18.16$,0.00$,"Reconciled"
"WealthSimple Cash","","28/02/2024","Depanneur 7 Jour","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","Split (1/2) ",10.67$,0.00$,"Reconciled"
"WealthSimple Cash","","28/02/2024","Depanneur 7 Jour","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","Split (2/2) ",2.50$,0.00$,"Reconciled"
"WealthSimple Cash","","28/02/2024","Recu De Papa","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,75.00$,"Reconciled"
"WealthSimple Cash","","28/02/2024","Reçu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,400.00$,"Reconciled"
"WealthSimple Cash","","28/02/2024","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,401.39$,"Reconciled"
"WealthSimple Cash","","28/02/2024","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,678.00$,"Reconciled"
"WealthSimple Cash","","27/02/2024","Transfer : WealthSimple CELI","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",34.91$,0.00$,"Reconciled"
"WealthSimple Cash","","27/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",12.37$,0.00$,"Reconciled"
"WealthSimple Cash","","27/02/2024","Reconciliation Balance Adjustment","Inflow: Ready to Assign","Inflow","Ready to Assign","Entered automatically by YNAB",3.07$,0.00$,"Reconciled"
"WealthSimple CELI","","27/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,34.91$,"Reconciled"
"Classique Visa Desjardins","","26/02/2024","FRAIS DE CRÉDIT","Dépense Irrégulière: 🤌 Frais et Interet","Dépense Irrégulière","🤌 Frais et Interet","",74.64$,0.00$,"Reconciled"
"Classique Visa Desjardins","","26/02/2024","ASSURANCE SOLDE DSF PARTICULIER","Dépense Irrégulière: 🤌 Frais et Interet","Dépense Irrégulière","🤌 Frais et Interet","",50.25$,0.00$,"Reconciled"
"WealthSimple Cash","","26/02/2024","Shell Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","Split (1/3) ",10.53$,0.00$,"Reconciled"
"WealthSimple Cash","","26/02/2024","Shell Port-Cartier","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","Split (2/3) ",35.00$,0.00$,"Reconciled"
"WealthSimple Cash","","26/02/2024","Shell Port-Cartier","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","Split (3/3) ",4.00$,0.00$,"Reconciled"
"Classique Visa Desjardins","","26/02/2024","TAXES QC ASS-SOLDE DSF PARTICULIER","Dépense Irrégulière: 🤌 Frais et Interet","Dépense Irrégulière","🤌 Frais et Interet","",4.52$,0.00$,"Reconciled"
"WealthSimple Cash","","26/02/2024","Transfer : WealthSimple CELI","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",0.25$,0.00$,"Reconciled"
"WealthSimple CELI","","26/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,0.25$,"Reconciled"
"WealthSimple Cash","","25/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","Split (1/2) ",34.85$,0.00$,"Reconciled"
"WealthSimple Cash","","25/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","Split (2/2) ",12.00$,0.00$,"Reconciled"
"WealthSimple Cash","","25/02/2024","Udemy","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",22.98$,0.00$,"Reconciled"
"WealthSimple Cash","","25/02/2024","YOUNEEDABUDGET.COM +18016109169","Abonnement: YNAB","Abonnement","YNAB","",20.27$,0.00$,"Reconciled"
"WealthSimple Cash","","25/02/2024","Snowball Portfolio","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",16.21$,0.00$,"Reconciled"
"WealthSimple Cash","","25/02/2024","Ionos","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",2.30$,0.00$,"Reconciled"
"WealthSimple Cash","","24/02/2024","Bell","Dépense Obligatoire: 📱 Cellulaire","Dépense Obligatoire","📱 Cellulaire","",156.83$,0.00$,"Reconciled"
"WealthSimple Cash","","24/02/2024","IGA Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",90.97$,0.00$,"Reconciled"
"WealthSimple Cash","","24/02/2024","Resto des chutes","Dépense Non Obligatoire: 👩‍🍳 Restaurant","Dépense Non Obligatoire","👩‍🍳 Restaurant","",60.00$,0.00$,"Reconciled"
"WealthSimple Cash","","23/02/2024","Depanneur Pointe","Dépense Non Obligatoire: ⛽ Gaz","Dépense Non Obligatoire","⛽ Gaz","Split (1/3) ",40.00$,0.00$,"Reconciled"
"WealthSimple Cash","","23/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","Split (2/3) ",34.70$,0.00$,"Reconciled"
"WealthSimple Cash","","23/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","Split (3/3) ",6.00$,0.00$,"Reconciled"
"WealthSimple Cash","","23/02/2024","Marché 7 jours","Dépense Non Obligatoire: ⛽ Gaz","Dépense Non Obligatoire","⛽ Gaz","Split (1/2) ",48.00$,0.00$,"Reconciled"
"WealthSimple Cash","","23/02/2024","Marché 7 jours","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","Split (2/2) ",9.40$,0.00$,"Reconciled"
"WealthSimple Cash","","23/02/2024","Recu De Papa","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,50.00$,"Reconciled"
"WealthSimple Cash","","22/02/2024","Transfer : Classique Visa Desjardins","","","","",27.05$,0.00$,"Reconciled"
"WealthSimple Cash","","22/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",12.37$,0.00$,"Reconciled"
"WealthSimple Cash","","22/02/2024","Fan-Only","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",10.91$,0.00$,"Reconciled"
"WealthSimple Cash","","22/02/2024","Transfer : WealthSimple CELI","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",0.88$,0.00$,"Reconciled"
"WealthSimple CELI","","22/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,0.88$,"Reconciled"
"Classique Visa Desjardins","","22/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,27.05$,"Reconciled"
"WealthSimple Cash","","22/02/2024","Recu De Papa","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,40.00$,"Reconciled"
"WealthSimple Cash","","22/02/2024","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,401.37$,"Reconciled"
"WealthSimple Cash","","21/02/2024","Depanneur BT","Dépense Non Obligatoire: ⛽ Gaz","Dépense Non Obligatoire","⛽ Gaz","Split (1/4) ",40.00$,0.00$,"Reconciled"
"WealthSimple Cash","","21/02/2024","Depanneur BT","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","Split (2/4) ",5.73$,0.00$,"Reconciled"
"WealthSimple Cash","","21/02/2024","Depanneur BT","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","Split (3/4) ",36.00$,0.00$,"Reconciled"
"WealthSimple Cash","","21/02/2024","Depanneur BT","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","Split (4/4) ",3.00$,0.00$,"Reconciled"
"WealthSimple Cash","","20/02/2024","Distribution Franmon","Dépense Irrégulière: 🧔 Papa","Dépense Irrégulière","🧔 Papa","",125.27$,0.00$,"Reconciled"
"WealthSimple Cash","","20/02/2024","ADOBE INC 4029357733","Abonnement: Adobe","Abonnement","Adobe","",14.94$,0.00$,"Reconciled"
"WealthSimple Cash","","20/02/2024","Shell Port-Cartier","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","",9.40$,0.00$,"Reconciled"
"WealthSimple Cash","","20/02/2024","Recu De Papa","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,125.00$,"Reconciled"
"WealthSimple Cash","","19/02/2024","Transfer : WealthSimple CELI","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",154.00$,0.00$,"Reconciled"
"WealthSimple Cash","","19/02/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",37.85$,0.00$,"Reconciled"
"Principal","","19/02/2024","Payment /DESJARDINS FIN. SECUR.","Dépense Obligatoire: 🏦 Frais Assurance Desjardins","Dépense Obligatoire","🏦 Frais Assurance Desjardins","",15.75$,0.00$,"Reconciled"
"WealthSimple Cash","","19/02/2024","StockUnlock","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",11.99$,0.00$,"Reconciled"
"Principal","","19/02/2024","Payment /DESJARDINS FIN. SECUR.","Dépense Obligatoire: 🏦 Frais Assurance Desjardins","Dépense Obligatoire","🏦 Frais Assurance Desjardins","",9.95$,0.00$,"Reconciled"
"WealthSimple Cash","","19/02/2024","TIKR","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,27.00$,"Reconciled"
"WealthSimple CELI","","19/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,154.00$,"Reconciled"
"WealthSimple Cash","","19/02/2024","REER Berger","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,154.16$,"Reconciled"
"WealthSimple Cash","","18/02/2024","Transfer : Fairstone","Hidden Categories: 📂 Fairstone / Fridge","Hidden Categories","📂 Fairstone / Fridge","",169.09$,0.00$,"Reconciled"
"WealthSimple Cash","","18/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","",10.92$,0.00$,"Reconciled"
"WealthSimple Cash","","18/02/2024","Reçu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,5.00$,"Reconciled"
"WealthSimple Cash","","18/02/2024","Reçu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,10.00$,"Reconciled"
"Fairstone","","18/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,169.09$,"Uncleared"
"WealthSimple Cash","","17/02/2024","Canadian Tire","Dépense Irrégulière: 🧔 Papa","Dépense Irrégulière","🧔 Papa","",254.08$,0.00$,"Reconciled"
"WealthSimple Cash","","17/02/2024","Money transfer sent to /Katherine /Je t'aime","Epargne Court-terme: 😻 Cadeau Fete Kath","Epargne Court-terme","😻 Cadeau Fete Kath","",100.00$,0.00$,"Reconciled"
"WealthSimple Cash","","17/02/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","Split (1/2) ",37.00$,0.00$,"Reconciled"
"WealthSimple Cash","","17/02/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","Split (2/2) ",6.59$,0.00$,"Reconciled"
"WealthSimple Cash","","17/02/2024","Super C","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",36.18$,0.00$,"Reconciled"
"WealthSimple Cash","","17/02/2024","Money transfer sent to /Papa /","Dépense Irrégulière: 🧔 Papa","Dépense Irrégulière","🧔 Papa","",25.00$,0.00$,"Reconciled"
"WealthSimple Cash","","17/02/2024","Transfer : WealthSimple Crypto","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",5.00$,0.00$,"Reconciled"
"WealthSimple Cash","","17/02/2024","Recu De Papa","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,1.00$,"Reconciled"
"WealthSimple Crypto","","17/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,5.00$,"Reconciled"
"WealthSimple Cash","","17/02/2024","Recu De Papa","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,280.00$,"Reconciled"
"Principal","","16/02/2024","Transfer : WealthSimple Cash","","","","",280.00$,0.00$,"Reconciled"
"WealthSimple Cash","","16/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",37.04$,0.00$,"Reconciled"
"WealthSimple Cash","","16/02/2024","Purchase /DOLLARAMA # 142","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",14.95$,0.00$,"Reconciled"
"WealthSimple Cash","","16/02/2024","Google Play Store","Dépense Irrégulière: 📤 Dépense Non Catégorisé","Dépense Irrégulière","📤 Dépense Non Catégorisé","",10.91$,0.00$,"Reconciled"
"WealthSimple Cash","","16/02/2024","Maxi Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",6.28$,0.00$,"Reconciled"
"Principal","","16/02/2024","Recu De Papa","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,280.00$,"Reconciled"
"WealthSimple Cash","","16/02/2024","Transfer : Principal","","","","",0.00$,280.00$,"Reconciled"
"Principal","","15/02/2024","Transfer : WealthSimple Cash","","","","",401.00$,0.00$,"Reconciled"
"WealthSimple Cash","","15/02/2024","Transfer : Principal","","","","",250.00$,0.00$,"Reconciled"
"Principal","","15/02/2024","Money transfer sent to /Papa /","Dépense Irrégulière: 🧔 Papa","Dépense Irrégulière","🧔 Papa","",250.00$,0.00$,"Reconciled"
"WealthSimple Cash","","15/02/2024","AFFIRM CANADA VANCOUVER BC","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",139.41$,0.00$,"Reconciled"
"WealthSimple Cash","","15/02/2024","TIKR","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",27.06$,0.00$,"Reconciled"
"WealthSimple Cash","","15/02/2024","Transfer : WealthSimple CELI","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",5.10$,0.00$,"Reconciled"
"WealthSimple Cash","","15/02/2024","Transfer : WealthSimple CELI","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",4.90$,0.00$,"Reconciled"
"WealthSimple CELI","","15/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,4.90$,"Reconciled"
"WealthSimple CELI","","15/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,5.10$,"Reconciled"
"Principal","","15/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,250.00$,"Reconciled"
"WealthSimple Cash","","15/02/2024","Transfer : Principal","","","","",0.00$,401.00$,"Reconciled"
"Principal","","15/02/2024","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,401.39$,"Reconciled"
"Principal","","14/02/2024","Transfer : WealthSimple Cash","","","","",678.00$,0.00$,"Reconciled"
"Principal","","14/02/2024","Insurance /Intact Assur.","Dépense Obligatoire: 🚗 Assurance Auto","Dépense Obligatoire","🚗 Assurance Auto","",58.56$,0.00$,"Reconciled"
"WealthSimple Cash","","14/02/2024","Money transfer sent to /Katherine /","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",50.00$,0.00$,"Reconciled"
"WealthSimple Cash","","14/02/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","Split (1/2) ",37.50$,0.00$,"Reconciled"
"WealthSimple Cash","","14/02/2024","Irving Port-Cartier","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","Split (2/2) ",2.55$,0.00$,"Reconciled"
"WealthSimple Cash","","14/02/2024","IGA Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",26.43$,0.00$,"Reconciled"
"WealthSimple Cash","","14/02/2024","Maxi Port-Cartier","Dépense Obligatoire: 🍲 Epicerie","Dépense Obligatoire","🍲 Epicerie","",17.91$,0.00$,"Reconciled"
"WealthSimple Cash","","14/02/2024","Transfer : WealthSimple CELI","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",1.19$,0.00$,"Reconciled"
"WealthSimple Cash","","14/02/2024","Transfer : WealthSimple CELI","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",0.30$,0.00$,"Reconciled"
"WealthSimple Cash","","14/02/2024","Money transfer sent to /Katherine /","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",0.10$,0.00$,"Reconciled"
"WealthSimple CELI","","14/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,0.30$,"Reconciled"
"WealthSimple CELI","","14/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,1.19$,"Reconciled"
"WealthSimple Cash","","14/02/2024","Transfer : Principal","","","","",0.00$,678.00$,"Reconciled"
"Principal","","14/02/2024","Chomage","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,678.00$,"Reconciled"
"Principal","","13/02/2024","Transfer : WealthSimple Cash","","","","",250.00$,0.00$,"Reconciled"
"WealthSimple Cash","","13/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","Split (1/4) ",5.50$,0.00$,"Reconciled"
"WealthSimple Cash","","13/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","Split (2/4) ",37.65$,0.00$,"Reconciled"
"WealthSimple Cash","","13/02/2024","Depanneur Pointe","Dépense Non Obligatoire: ⛽ Gaz","Dépense Non Obligatoire","⛽ Gaz","Split (3/4) ",79.71$,0.00$,"Reconciled"
"WealthSimple Cash","","13/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","Split (4/4) ",3.00$,0.00$,"Reconciled"
"Principal","","13/02/2024","Transfer : WealthSimple Cash","","","","",80.00$,0.00$,"Reconciled"
"WealthSimple Cash","","13/02/2024","Money transfer sent to /Katherine /","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",50.00$,0.00$,"Reconciled"
"Principal","","13/02/2024","Money transfer received from /JEAN-FRANCOIS DUGAS/","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,80.00$,"Reconciled"
"WealthSimple Cash","","13/02/2024","Transfer : Principal","","","","",0.00$,80.00$,"Reconciled"
"Principal","","13/02/2024","Recu De Papa","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,250.00$,"Reconciled"
"WealthSimple Cash","","13/02/2024","Transfer : Principal","","","","",0.00$,250.00$,"Reconciled"
"Principal","","12/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",43.19$,0.00$,"Reconciled"
"Principal","","12/02/2024","Interac e-Transfer from /Pierre-Luc Dug/","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,43.19$,"Reconciled"
"WealthSimple Cash","","11/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","Split (1/3) ",35.19$,0.00$,"Reconciled"
"WealthSimple Cash","","11/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","Split (2/3) 5,50",5.50$,0.00$,"Reconciled"
"WealthSimple Cash","","11/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","Split (3/3) ",2.50$,0.00$,"Reconciled"
"Principal","","10/02/2024","Transfer : WealthSimple Cash","","","","",466.62$,0.00$,"Reconciled"
"Principal","","10/02/2024","Transfer : WealthSimple Cash","","","","",140.00$,0.00$,"Reconciled"
"WealthSimple Cash","","10/02/2024","Transfer : WealthSimple CELI","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",50.00$,0.00$,"Reconciled"
"WealthSimple Crypto","","10/02/2024","Reconciliation Balance Adjustment","","","","Entered automatically by YNAB",25.26$,0.00$,"Reconciled"
"WealthSimple Cash","","10/02/2024","Spotify","Dépense Irrégulière: Autre Non Credit","Dépense Irrégulière","Autre Non Credit","",17.24$,0.00$,"Reconciled"
"WealthSimple Cash","","10/02/2024","YouTubePremium g.co/helppaNSCA","Abonnement: Youtube Premium","Abonnement","Youtube Premium","",14.94$,0.00$,"Reconciled"
"WealthSimple Cash","","10/02/2024","Transfer : Principal","","","","",0.14$,0.00$,"Reconciled"
"Principal","","10/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,0.14$,"Reconciled"
"WealthSimple CELI","","10/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,50.00$,"Reconciled"
"WealthSimple Cash","","10/02/2024","Transfer : Principal","","","","",0.00$,140.00$,"Reconciled"
"WealthSimple Cash","","10/02/2024","Transfer : Principal","","","","",0.00$,466.62$,"Reconciled"
"Principal","","09/02/2024","Money transfer sent to /Katherine /Je t'aime","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",60.00$,0.00$,"Reconciled"
"Principal","","09/02/2024","Transfer : WealthSimple Cash","","","","",35.00$,0.00$,"Reconciled"
"WealthSimple Cash","","09/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🚬 Cigarette","Dépense Non Obligatoire","🚬 Cigarette","",35.00$,0.00$,"Reconciled"
"WealthSimple Cash","","09/02/2024","Transfer : WealthSimple Crypto","Dépense Irrégulière: 💰 Placement","Dépense Irrégulière","💰 Placement","",35.00$,0.00$,"Reconciled"
"Principal","","09/02/2024","Transfer : WealthSimple Cash","","","","",30.00$,0.00$,"Reconciled"
"WealthSimple Cash","","09/02/2024","Amazon","Dépense Non Obligatoire: 🛒 Amazon","Dépense Non Obligatoire","🛒 Amazon","",21.00$,0.00$,"Reconciled"
"Principal","","09/02/2024","Money transfer sent to /Katherine /Je t'aime","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",20.00$,0.00$,"Reconciled"
"Principal","","09/02/2024","Money transfer sent to /Katherine /Je t'aime","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",20.00$,0.00$,"Reconciled"
"WealthSimple Cash","","09/02/2024","Money transfer sent to /Katherine /","Dépense Irrégulière:  ❤️ Katherine","Dépense Irrégulière"," ❤️ Katherine","",1.00$,0.00$,"Reconciled"
"WealthSimple Cash","","09/02/2024","Transfer : Principal","","","","",0.00$,30.00$,"Reconciled"
"WealthSimple Cash","","09/02/2024","Transfer : Principal","","","","",0.00$,35.00$,"Reconciled"
"WealthSimple Crypto","","09/02/2024","Transfer : WealthSimple Cash","","","","",0.00$,35.00$,"Reconciled"
"WealthSimple CELI","","09/02/2024","Starting Balance","","","","",0.00$,102.90$,"Reconciled"
"Principal","","09/02/2024","Recu de Katherine","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,147.41$,"Reconciled"
"WealthSimple Cash","","08/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🏪 Dépanneur","Dépense Non Obligatoire","🏪 Dépanneur","Split (1/2) ",37.50$,0.00$,"Reconciled"
"WealthSimple Cash","","08/02/2024","Depanneur Pointe","Dépense Non Obligatoire: 🥃 Redbull","Dépense Non Obligatoire","🥃 Redbull","Split (2/2) ",5.50$,0.00$,"Reconciled"
"Principal","","08/02/2024","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,32.66$,"Reconciled"
"Principal","","08/02/2024","Paye Arbec","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,368.74$,"Reconciled"
"Principal","","07/02/2024","Transfer : Classique Visa Desjardins","","","","",101.30$,0.00$,"Reconciled"
